key,value,date
GOOG,790.51,11/08/16
GOOG,785.31,11/09/16
GOOG,762.56,11/10/16
GOOG,754.02,11/11/16
GOOG,736.08,11/14/16
GOOG,758.49,11/15/16
GOOG,764.48,11/16/16
GOOG,771.23,11/17/16
GOOG,760.54,11/18/16
GOOG,769.20,11/21/16
GOOG,768.27,11/22/16
GOOG,760.99,11/23/16
GOOG,761.68,11/25/16
GOOG,768.24,11/28/16
GOOG,770.84,11/29/16
GOOG,758.04,11/30/16
GOOG,747.92,12/01/16
GOOG,750.50,12/02/16
GOOG,762.52,12/05/16
GOOG,759.11,12/06/16
GOOG,771.19,12/07/16
GOOG,776.42,12/08/16
GOOG,789.29,12/09/16
GOOG,789.27,12/12/16
GOOG,796.10,12/13/16
GOOG,797.07,12/14/16
GOOG,797.85,12/15/16
GOOG,790.80,12/16/16
GOOG,794.20,12/19/16
GOOG,796.42,12/20/16
GOOG,794.56,12/21/16
GOOG,791.26,12/22/16
GOOG,789.91,12/23/16
GOOG,791.55,12/27/16
GOOG,785.05,12/28/16
GOOG,782.79,12/29/16
GOOG,771.82,12/30/16
GOOG,786.14,01/03/17
GOOG,786.90,01/04/17
GOOG,794.02,01/05/17
GOOG,806.15,01/06/17
GOOG,806.65,01/09/17
GOOG,804.79,01/10/17
GOOG,807.91,01/11/17
GOOG,806.36,01/12/17
GOOG,807.88,01/13/17
GOOG,804.61,01/17/17
GOOG,806.07,01/18/17
GOOG,802.17,01/19/17
GOOG,805.02,01/20/17
GOOG,819.31,01/23/17
GOOG,823.87,01/24/17
GOOG,835.67,01/25/17
GOOG,832.15,01/26/17
GOOG,823.31,01/27/17
GOOG,802.32,01/30/17
GOOG,796.79,01/31/17
GOOG,795.70,02/01/17
GOOG,798.53,02/02/17
GOOG,801.49,02/03/17
GOOG,801.34,02/06/17
GOOG,806.97,02/07/17
GOOG,808.38,02/08/17
GOOG,809.56,02/09/17
GOOG,813.67,02/10/17
GOOG,819.24,02/13/17
GOOG,820.45,02/14/17
GOOG,818.98,02/15/17
GOOG,824.16,02/16/17
GOOG,828.07,02/17/17
GOOG,831.66,02/21/17
GOOG,830.76,02/22/17
GOOG,831.33,02/23/17
GOOG,828.64,02/24/17
GOOG,829.28,02/27/17
GOOG,823.21,02/28/17
GOOG,835.24,03/01/17
GOOG,830.63,03/02/17
GOOG,829.08,03/03/17
GOOG,827.78,03/06/17
GOOG,831.91,03/07/17
GOOG,835.37,03/08/17
GOOG,838.68,03/09/17
GOOG,843.25,03/10/17
GOOG,845.54,03/13/17
GOOG,845.62,03/14/17
GOOG,847.20,03/15/17
GOOG,848.78,03/16/17
GOOG,852.12,03/17/17
GOOG,848.40,03/20/17
GOOG,830.46,03/21/17
GOOG,829.59,03/22/17
GOOG,817.58,03/23/17
GOOG,814.43,03/24/17
GOOG,819.51,03/27/17
GOOG,820.92,03/28/17
GOOG,831.41,03/29/17
GOOG,831.50,03/30/17
GOOG,829.56,03/31/17
GOOG,838.55,04/03/17
GOOG,834.57,04/04/17
GOOG,831.41,04/05/17
GOOG,827.88,04/06/17
GOOG,824.67,04/07/17
GOOG,824.73,04/10/17
GOOG,823.35,04/11/17
GOOG,824.32,04/12/17
GOOG,823.56,04/13/17
GOOG,837.17,04/17/17
GOOG,836.82,04/18/17
GOOG,838.21,04/19/17
GOOG,841.65,04/20/17
GOOG,843.19,04/21/17
GOOG,862.76,04/24/17
GOOG,872.30,04/25/17
GOOG,871.73,04/26/17
GOOG,874.25,04/27/17
GOOG,905.96,04/28/17
GOOG,912.57,05/01/17
GOOG,916.44,05/02/17
GOOG,927.04,05/03/17
GOOG,931.66,05/04/17
GOOG,927.13,05/05/17
GOOG,934.30,05/08/17
GOOG,932.17,05/09/17
GOOG,928.78,05/10/17
GOOG,930.60,05/11/17
GOOG,932.22,05/12/17
GOOG,937.08,05/15/17
GOOG,943.00,05/16/17
GOOG,919.62,05/17/17
GOOG,930.24,05/18/17
GOOG,934.01,05/19/17
GOOG,941.86,05/22/17
GOOG,948.82,05/23/17
GOOG,954.96,05/24/17
GOOG,969.54,05/25/17
GOOG,971.47,05/26/17
GOOG,975.88,05/30/17
GOOG,964.86,05/31/17
GOOG,966.95,06/01/17
GOOG,975.60,06/02/17
GOOG,983.68,06/05/17
GOOG,976.57,06/06/17
GOOG,980.94,06/07/17
GOOG,983.41,06/08/17
GOOG,949.83,06/09/17
